EV,Congestion,Optimal Path,Energy (kWh),Time (h),Energy (kWh/100km)
EV 1,25%,1 → 6 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9 → 27 → 9,0.8059,0.2898,6.95
EV 2,25%,23 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11,0.5445,0.1958,6.95
EV 3,25%,20 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17,0.2677,0.0963,6.95
EV 4,25%,14 → 26 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3,0.1126,0.0405,6.95
EV 5,25%,14 → 26 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28 → 4 → 3 → 28,0.4126,0.1484,6.95
EV 1,50%,1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 1 → 2 → 6 → 2 → 6 → 2 → 6 → 2 → 6 → 2 → 6 → 2 → 6 → 2 → 6 → 2 → 1 → 2 → 6 → 2 → 1 → 2 → 6 → 2 → 1 → 2 → 6 → 2 → 1 → 2,0.5566,0.2002,6.95
EV 2,50%,23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 23 → 8 → 12 → 23 → 8 → 12 → 23 → 8 → 23 → 8 → 12 → 23 → 8 → 23 → 8 → 12 → 23 → 8 → 23 → 12 → 8 → 12 → 23,0.3842,0.1382,6.95
EV 3,50%,20 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 20 → 17 → 20 → 17 → 20 → 17 → 20 → 17 → 20 → 17 → 20 → 17 → 20 → 17 → 19 → 20 → 17 → 20 → 17 → 20 → 17 → 20,0.3912,0.1407,6.95
EV 4,50%,14 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 13 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 4 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 3 → 13 → 3 → 26 → 14 → 26 → 14 → 26 → 3 → 4 → 3 → 4 → 3 → 13 → 3 → 4 → 3 → 26 → 14 → 26 → 3 → 4 → 3 → 13 → 3 → 26 → 14,0.8069,0.2902,6.95
EV 5,50%,14 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 28 → 3 → 26 → 14 → 26 → 28 → 3,0.5375,0.1933,6.95
